date,NO2,CO,SO2,O3
2025-05-19,2.112501037441744e-05,0.0274340987205505,-1.7801334391921184e-05,0.1178449214332633
2025-05-20,1.6693794077582424e-05,,0.0001229225308634,0.1149336036501659
2025-05-21,2.1360774813469368e-05,0.0282796502113342,4.272321330419942e-05,0.1154708298337128
2025-05-22,1.9279998604041475e-05,0.0302068978548049,0.000407977454495,0.1165290342872602
2025-05-23,2.224960808803189e-05,,,0.1183805561934908
2025-05-24,1.982052977685574e-05,,,0.1153731149517827
2025-05-25,1.4598937281441657e-05,0.0269419312477111,0.0001160464404771,0.1133419215265247
2025-05-26,1.3007011952651895e-05,0.0244371695596663,-3.6819077863851015e-05,0.1164342292274038
2025-05-27,1.890830596139088e-05,,,0.1169703754906853
2025-05-28,1.2468341331319474e-05,,-0.0002610990777611,0.1188844232302573
2025-05-29,1.972889411973017e-05,0.0275320419366808,1.3187959686749512e-05,0.116919943338467
2025-05-30,1.128235929807412e-05,0.0261507216146436,0.0001878980829408,0.1156813021128376
2025-05-31,2.390951430069912e-05,0.0262741982936859,0.0001975185842367,0.1158363683563139
2025-06-01,2.908532353883077e-05,0.0272069047479068,2.976916948682629e-05,0.1151999681153231
2025-06-02,2.282231771044872e-05,,,0.1146649207091993
2025-06-03,1.7625409846598064e-05,0.0250540510300667,-3.6433857354906296e-05,0.1141094468120071
2025-06-04,1.7552307352094005e-05,0.0247146513151085,0.0002298561247208,0.1146492852518955
2025-06-05,1.7797755956650006e-05,0.0263198652575092,0.000537968491419,0.1132037130494912
2025-06-06,2.223883079157373e-05,0.023673207671554,0.0001966240298416,0.1138871489092707
2025-06-07,2.149631682426077e-05,0.0275122369489362,0.0014669731469221,0.114628040973021
2025-06-08,1.896518805503882e-05,,0.000290909498606,0.1146381400111648
2025-06-09,1.8988732387962653e-05,0.0284113883972167,0.000413245593126,0.113576138495571
2025-06-10,2.3664324672267867e-05,0.0225680582225322,,0.1146439116241203
2025-06-11,2.006932194041787e-05,0.0278041362762451,0.0003140326589345,0.1143318851374917
2025-06-12,1.6965999655192057e-05,0.0250526534186469,5.867778544582553e-05,0.1162260574185186
2025-06-13,1.438519052573826e-05,0.0228621010877648,0.0003780330398253,0.1151242085422078
2025-06-14,1.12755599417369e-05,,0.0002143156598322,0.1146342771955662
2025-06-15,1.5316075044275e-05,0.0238434933125972,0.0001034914050251,0.1150597432214352
2025-06-16,4.253652999371601e-05,0.0233315788209438,-9.651510833552289e-07,0.1173903817931811
2025-06-17,2.6168312165193093e-05,0.0306065160720074,0.0005680498563581,0.116164474748075
2025-06-18,1.4527321092400012e-05,0.0314867258071899,0.0001026025784085,0.1157104160843624
2025-06-19,2.2710317518616093e-05,0.030371073881785,0.0002424590444813,0.1139754337362117
2025-06-20,1.3738907072359376e-05,,0.0003611734983595,0.112433400315543
2025-06-21,4.068698901738528e-05,,,0.1112718740478158
2025-06-22,3.73792185166407e-05,0.0286478643064145,0.0012351499824989,0.1117274264494578
2025-06-23,2.1684991369089937e-05,0.0261202953957222,,0.1154273010113022
2025-06-24,2.564884294591658e-05,0.0273412972688674,0.0001598657743835,0.1170982788834306
2025-06-25,1.9258967431887093e-05,0.0296311573904068,0.0001345789059996,0.115975006793936
2025-06-26,1.218864612383186e-05,,-6.582090058005773e-05,0.1159237875706619
2025-06-27,1.4272855438597931e-05,0.0325665920972824,0.000252535387587,0.115249121044245
2025-06-28,1.3803039613825652e-05,0.0241103084648356,-9.172614469813804e-05,0.1173043065807885
2025-06-29,1.5292826060109288e-05,,0.0004555934942082,0.1157453891096843
2025-06-30,1.809220568702585e-05,0.0289820688111441,-0.0001048721605911,0.1147644790924257
