date,NO2
2026-06-01,2.679910176084377e-05
2026-06-02,1.5596748198731802e-05
2026-06-03,3.028975515917409e-05
2026-06-04,2.4220529667218216e-05
2026-06-05,1.6416575817856938e-05
2026-06-06,1.6268724721157923e-05
2026-06-07,3.980476321885362e-05
2026-06-08,3.0504141250276007e-05
2026-06-09,6.476204816863174e-06
2026-06-10,3.167106842738576e-05
2026-06-11,2.171334381273482e-05
2026-06-13,2.9025733965681862e-05
2026-06-14,2.9216769689810466e-05
2026-06-15,2.3273920305655334e-05
2026-06-16,6.7951127675769385e-06
2026-06-17,1.6443713320768438e-05
2026-06-18,1.1894311683136038e-05
2026-06-19,3.6977988202124834e-05
2026-06-20,1.465923196519725e-05
2026-06-21,1.8913236999651417e-05
2026-06-22,1.8545977582107295e-05
2026-06-24,3.826284228125587e-06
2026-06-25,1.3182301699998789e-05
2026-06-26,-2.84717975773674e-06
2026-06-27,1.6242373021668755e-05
2026-06-28,9.313836926594377e-06
2026-06-29,4.493931191973388e-05
2026-06-30,4.031621938338503e-05
2026-07-01,3.272081085015088e-05
2026-07-02,2.649000089149922e-05
2026-07-03,1.887430698843673e-05
2026-07-04,1.75275908986805e-05
2026-07-05,1.556979441375006e-05
2026-07-06,1.8101194655173455e-05
2026-07-07,2.771668732748367e-05
2026-07-08,4.162414188613184e-05
2026-07-09,3.622872463893145e-05
2026-07-10,2.078044963127468e-05
2026-07-11,4.565052222460508e-05
2026-07-12,3.4320546546950936e-05
2026-07-13,1.869090920081362e-05
2026-07-14,2.9923414331278764e-05
2026-07-15,1.5402649296447635e-05
2026-07-16,1.900811548694037e-05
2026-07-17,2.1310073861968704e-05
2026-07-18,2.4125873096636496e-05
2026-07-19,2.4705290343263187e-05
2026-07-20,1.5096626157173889e-05
2026-07-21,3.70641537301708e-05
2026-07-22,2.1271507648634724e-05
2026-07-23,3.296967770438641e-05
2026-07-24,2.923586907854769e-05
2026-07-25,3.448013740126044e-05
2026-07-26,2.299517109349836e-05
2026-07-28,8.88112117536366e-06
2026-07-29,2.697503077797592e-05
2026-07-30,-2.556308800194529e-07
2026-07-31,2.1996575014782135e-05
2026-08-01,8.48379022500012e-06
2026-08-02,1.362968873763748e-06
2026-08-03,9.889365173876286e-06
2026-08-04,1.6541747754672542e-05
2026-08-05,1.7353988368995488e-05
2026-08-06,3.901634045178071e-05
2026-08-07,2.8802223823731765e-05
2026-08-08,2.306686837982852e-05
2026-08-09,8.686029104865156e-06
2026-08-10,3.5978529922431335e-05
2026-08-11,1.203683132189326e-05
2026-08-12,1.845908809627872e-05
2026-08-13,1.709782736725174e-05
2026-08-14,2.525680247345008e-05
2026-08-15,1.2151391274528578e-05
2026-08-16,3.2821706554386765e-05
2026-08-17,1.6571313608437777e-05
2026-08-18,2.4373088308493607e-05
2026-08-19,2.385097832302563e-05
2026-08-20,9.504690751782618e-06
2026-08-21,2.086022141156718e-05
2026-08-22,2.04553271032637e-05
2026-08-23,1.4373423255165108e-05
2026-08-24,2.81661850749515e-05
2026-08-25,1.4825011021457613e-05
2026-08-26,2.482440868334379e-05
2026-08-27,4.455198904906865e-06
2026-08-28,2.720290285651572e-05
2026-08-29,3.517626964821829e-06
2026-08-30,2.5029103198903613e-05
